Type,ID,Next Action,Duration,Power,Direction-Heading,Distance
WaitAction,One,Land,0.2,,,
HangAction,Land,ResetHeading,4.5,1,OUT,9100
ResetAction,ResetHeading,LeaveLatch,2,0.2,reset,
DriveAction,LeaveLatch,IsStuck,6,0.2,180,4
GyroAction,IsStuck,SlideAway,6,,,
DriveAction,FailS1,FailS2,4,0.2,0,4
HangAction,FailS2,IsStuck,1.25,0.9,OUT,100
DriveAction,SlideAway,DriveForward,6,0.3,270,6
DriveAction,DriveForward,GoldTurn,6,0.3,0,4
TurnAction,GoldTurn,Look,6,0.2,-73,
CameraAction,Look,centerPosition,30,,,
TurnAction,tweakLeft,Look,10,0.2,-70,
TurnAction,tweakRight,Look,10,0.2,-80,
TurnAction,leftPosition,LeftDrive,4,0.2,-55,
DriveAction,LeftDrive,LeftBackward,4,0.4,0,45
DriveAction,LeftBackward,FaceDepoL,4,0.4,180,6
TurnAction,FaceDepoL,ResetDepoL,3,0.3,45,
TurnAction,ResetDepoL,DepoDriveL,1.5,0.2,45,
DriveAction,DepoDriveL,MarkSlideL,3,0.5,180,30
DriveAction,MarkSlideL,Pause,1.5,0.4,270,10
TurnAction,centerPosition,CenterDrive,4,0.2,-87,
DriveAction,CenterDrive,CenterBackward,4,0.4,0,52
DriveAction,CenterBackward,FaceDepoC,4,0.4,180,6
TurnAction,FaceDepoC,ResetDepoC,3,0.3,43,
TurnAction,ResetDepoC,DepoSlideC,1.5,0.2,43,
DriveAction,DepoSlideC,Pause,3,0.4,270,17.5
TurnAction,rightPosition,RightDrive,4,0.2,-117,
DriveAction,RightDrive,RightBackward,4,0.4,0,41
DriveAction,RightBackward,FaceDepoR,4,0.4,180,5
TurnAction,FaceDepoR,ResetDepo,3,0.3,45,
TurnAction,ResetDepo,DepoSlideR,1.5,0.2,45,
DriveAction,DepoSlideR,Pause,4,0.4,270,50
WaitAction,Pause,FaceCrater,2,,,
MarkDeployAction,DeployMarker,FaceCrater,1.5,1,,
TurnAction,FaceCrater,CraterDrive,2,0.2,47,
DriveAction,CraterDrive,AllDone,5,0.4,0,55
ArmAction,ArmExtend,AllDone,10,0.8,1,CRATER_EXTEND
WaitAction,AllDone,,0.2,,,
